Data,Notas URL
29/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25823
02/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25745
03/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25821
03/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25746
04/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25843
05/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25811
06/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25836
09/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25750
10/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25751
16/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25754
17/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25848
17/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25755
18/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25884
18/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25756
19/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25894
20/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25847
23/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25770
23/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25759
24/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25760
25/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25893
25/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25761
26/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25835
30/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25844
30/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25763
31/10/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25764
01/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25782
06/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25784
07/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25785
08/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25786
13/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25896
13/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25789
14/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25790
20/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25793
21/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25919
21/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25794
22/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25795
23/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25895
24/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25886
27/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25798
28/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25799
29/11/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25800
01/12/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25802
01/12/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25926
04/12/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25927
04/12/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25865
05/12/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25866
